,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2856134,304,3.688633116883117,left,fixation,1.0,,555.702649350649,741.8887792207788,,,,,0.0,,
1,2856134,304,3.688633116883117,right,fixation,,1.0,555.508090909091,755.27625974026,,,,,0.0,,
2,2856442,44,,left,saccade,1.0,,,,558.101,744.3489999999997,565.669,275.677,,,
3,2856442,44,,right,saccade,,1.0,,,554.9630000000002,743.27,569.5880000000002,273.85900000000004,,,
4,2856490,132,3.677106060606061,left,fixation,2.0,,572.004617647059,258.36014705882303,,,,,3.0,2.5496536852219105,9.932098002969516
5,2856490,136,3.677102941176471,right,fixation,,2.0,554.776657142857,241.99745714285703,,,,,2.0,4.1237893643114045,12.91010001957492
6,2856626,12,,left,saccade,2.0,,,,555.877,242.865,509.62699999999995,238.696,,,
7,2856630,12,,right,saccade,,2.0,,,538.585,229.09799999999998,487.51800000000003,226.52900000000002,,,
8,2856642,208,3.6092115384615377,left,fixation,3.0,,496.712905660377,226.083735849056,,,,,1.0,3.288635705814122,29.67510283048736
9,2856646,204,3.6080196078431364,right,fixation,,3.0,484.53159615384595,231.478115384615,,,,,1.0,2.6701874518051474,5.501808611720301
10,2856854,20,,left,saccade,3.0,,,,493.82300000000004,213.924,592.802,215.551,,,
11,2856854,20,,right,saccade,,3.0,,,484.87,235.601,589.1759999999998,232.88099999999997,,,
12,2856878,80,,right,fixation,,4.0,593.7582380952381,226.369238095238,,,,,1.0,4.075562554898279,19.958335125956765
13,2856878,88,,left,fixation,4.0,,598.780086956522,230.442217391304,,,,,1.0,3.0966136791304484,26.15708265460808
14,2856962,52,,right,saccade,,4.0,,,597.734,242.53900000000002,822.791,218.78900000000002,,,
15,2856970,40,,left,saccade,4.0,,,,600.868,239.792,749.558,218.88099999999997,,,
16,2857078,12,,left,fixation,5.0,,754.1815,229.0495,,,,,0.0,,
17,2857094,16,,left,saccade,5.0,,,,757.2180000000003,228.946,826.061,229.046,,,
18,2857110,196,3.3870000000000005,right,fixation,,5.0,825.1522,229.99147999999997,,,,,2.0,3.0641489368724537,7.583034478526816
19,2857114,192,3.387,left,fixation,6.0,,842.637020408163,233.350326530612,,,,,1.0,4.096787094785369,6.074945267243064
20,2857310,20,,left,saccade,6.0,,,,844.72,235.718,749.4730000000003,235.99400000000003,,,
21,2857310,20,,right,saccade,,5.0,,,824.09,224.18099999999998,750.5210000000003,225.15599999999998,,,
22,2857334,148,3.4126216216216214,left,fixation,7.0,,747.321368421053,230.661710526316,,,,,0.0,,
23,2857334,148,3.4126216216216214,right,fixation,,6.0,740.859842105263,224.127789473684,,,,,0.0,,
24,2857486,20,,left,saccade,7.0,,,,747.46,231.468,658.314,234.933,,,
25,2857486,20,,right,saccade,,6.0,,,739.368,215.805,667.409,224.92700000000002,,,
26,2857510,264,3.4106439393939394,left,fixation,8.0,,653.459880597015,224.925686567164,,,,,3.0,77.58645170349996,232.91530336175984
27,2857510,264,3.4106439393939394,right,fixation,,7.0,654.195805970149,220.90652238806,,,,,2.0,115.07891157298815,346.65333666653567
28,2857778,24,,left,saccade,8.0,,,,648.92,227.502,483.494,233.00400000000002,,,
29,2857778,28,,right,saccade,,7.0,,,654.8580000000002,218.024,475.869,228.386,,,
30,2857806,156,3.4209137662337663,left,fixation,9.0,,472.42465,226.844975,,,,,2.0,1.9882707954958898,5.1060549708676986
31,2857810,144,3.4217758328627883,right,fixation,,8.0,472.08721621621595,229.061486486487,,,,,0.0,,
32,2857958,40,,right,saccade,,8.0,,,469.2,221.824,425.279,206.398,,,
33,2857966,40,,left,saccade,9.0,,,,468.12699999999995,231.423,452.168,222.44099999999997,,,
34,2858074,152,3.471963297571992,left,fixation,10.0,,452.080333333333,244.566820512821,,,,,3.0,3.3339996119400523,15.330623508733597
35,2858082,144,3.4719632975719925,right,fixation,,9.0,424.7750270270269,199.286621621622,,,,,0.0,,
36,2858230,20,,left,saccade,10.0,,,,439.333,228.952,537.651,226.06099999999998,,,
37,2858230,20,,right,saccade,,9.0,,,425.49,211.56400000000002,543.6569999999998,208.227,,,
38,2858254,256,3.5036015625,left,fixation,11.0,,552.981138461539,224.037476923077,,,,,2.0,2.468780781000417,13.135480479110706
39,2858254,256,3.5036015625,right,fixation,,10.0,540.984646153846,220.483692307692,,,,,0.0,,
40,2858514,28,,right,saccade,,10.0,,,540.5509999999998,220.865,840.959,216.87599999999998,,,
41,2858514,32,,left,saccade,11.0,,,,551.257,219.74200000000002,839.6110000000001,216.949,,,
42,2858546,256,3.4789609375,right,fixation,,11.0,845.4342307692308,215.763353846154,,,,,2.0,2.1688327989096874,5.3230937836019345
43,2858550,252,3.478587301587301,left,fixation,12.0,,862.231453125,225.09975,,,,,1.0,3.016297307037941,26.547382281498127
44,2858806,16,,left,saccade,12.0,,,,863.564,226.24099999999999,795.802,228.46200000000002,,,
45,2858806,16,,right,saccade,,11.0,,,855.204,208.051,766.227,205.149,,,
46,2858826,344,3.480655172413793,left,fixation,13.0,,784.926505747126,226.845287356322,,,,,3.0,1.882983776713729,4.930816501139937
47,2858826,344,3.480655172413793,right,fixation,,12.0,767.19743678161,212.71947126436797,,,,,1.0,3.5611291904550484,10.344092903681751
48,2859174,20,,left,saccade,13.0,,,,784.69,237.46599999999998,613.359,239.74,,,
49,2859174,24,,right,saccade,,12.0,,,766.8989999999999,238.238,607.731,237.604,,,
50,2859198,156,3.5021410256410253,left,fixation,14.0,,617.969125,229.202425,,,,,1.0,3.231108383958813,8.58786661517284
51,2859202,148,3.5022297297297293,right,fixation,,13.0,615.7230263157891,234.675947368421,,,,,0.0,,
52,2859354,24,,right,saccade,,13.0,,,618.2080000000002,235.77,475.51800000000003,236.525,,,
53,2859358,20,,left,saccade,14.0,,,,613.393,228.956,464.602,231.602,,,
54,2859382,424,3.5244761904761903,right,fixation,,14.0,444.343214953271,211.749261682243,,,,,5.0,2.9770887356769533,15.34383369397861
55,2859382,432,3.524247663551402,left,fixation,15.0,,465.422917431193,234.58593577981705,,,,,3.0,2.5336436214251346,14.611580880845047
56,2859810,20,,right,saccade,,14.0,,,458.63,238.78900000000002,544.75,229.668,,,
57,2859818,16,,left,saccade,15.0,,,,472.162,219.584,537.3340000000002,217.542,,,
58,2859834,572,3.5372118055555566,right,fixation,,15.0,541.524423611112,223.090333333333,,,,,6.0,3.237560867943764,10.995603092217856
59,2859838,572,3.537541666666667,left,fixation,16.0,,548.126472222222,222.60382638888905,,,,,3.0,2.540750595019578,7.7459127870757625
60,2860410,24,,right,saccade,,15.0,,,530.0930000000002,235.333,667.6389999999999,225.813,,,
61,2860414,20,,left,saccade,16.0,,,,541.146,204.602,662.212,206.21099999999998,,,
62,2860438,1028,3.560891050583657,right,fixation,,16.0,653.154062015504,229.04005813953492,,,,,8.0,3.2451780260873804,13.545477497672506
63,2860438,1032,3.5608120155038763,left,fixation,17.0,,663.088262548262,230.37122007722,,,,,3.0,3.957308908546819,16.506402693595806
64,2861470,20,,right,saccade,,16.0,,,673.676,232.71099999999998,762.596,224.645,,,
65,2861474,20,,left,saccade,17.0,,,,688.0160000000003,234.74200000000002,759.145,234.868,,,
66,2861494,1004,3.6096847545219632,right,fixation,,17.0,805.8466031746028,202.143619047619,,,,,4.0,10.3968912684589,33.41282601086838
67,2861498,1004,3.60998022217608,left,fixation,18.0,,823.0557579365089,236.16695238095198,,,,,3.0,9.078286987302267,33.6065595352712
68,2862502,52,,right,saccade,,17.0,,,848.2560000000003,214.94400000000002,597.424,241.735,,,
69,2862506,48,,left,saccade,18.0,,,,863.443,236.05700000000002,635.418,249.74099999999999,,,
70,2862622,716,3.545274053807569,left,fixation,19.0,,648.5797,242.94643888888905,,,,,5.0,3.4434311887765894,10.483466117976038
71,2862630,156,3.5981620155038763,right,fixation,,18.0,591.7085,213.623275,,,,,0.0,,
72,2862790,16,,right,saccade,,18.0,,,584.813,216.78900000000002,641.668,228.15200000000002,,,
73,2862810,528,3.536969696969697,right,fixation,,19.0,654.598894736842,243.01545112781898,,,,,2.0,3.1436529635924537,5.323234615729442
74,2863342,20,,right,saccade,,19.0,,,665.7539999999998,222.959,562.887,236.43599999999998,,,
75,2863342,24,,left,saccade,19.0,,,,672.6619999999998,243.872,552.461,244.997,,,
76,2863366,216,3.437722222222221,right,fixation,,20.0,555.1052,232.93885454545398,,,,,3.0,2.3239344506343174,5.642510019988696
77,2863370,212,3.437396226415093,left,fixation,20.0,,561.3804444444451,225.89194444444402,,,,,3.0,3.1727410457208536,16.776982548076933
78,2863586,24,,right,saccade,,20.0,,,553.3380000000002,242.38,827.072,240.88,,,
79,2863586,28,,left,saccade,20.0,,,,563.645,221.183,821.301,225.196,,,
80,2863614,668,3.5075778443113768,right,fixation,,21.0,845.3346785714281,217.71406547619,,,,,4.0,5.681556615626727,16.35546213516761
81,2863618,660,3.5077606060606064,left,fixation,21.0,,864.182445783133,236.70313253012,,,,,3.0,4.859224370245549,23.906004265654893
82,2864282,20,,left,saccade,21.0,,,,878.7,241.799,761.63,242.018,,,
83,2864286,20,,right,saccade,,21.0,,,844.75,217.68599999999998,743.873,213.635,,,
84,2864306,312,3.5334743589743587,left,fixation,22.0,,769.418126582278,247.68951898734198,,,,,1.0,2.2789276839972183,4.809785130335906
85,2864310,312,3.5333076923076923,right,fixation,,22.0,740.3049746835451,231.587746835443,,,,,1.0,3.1506355487601647,10.039485345375102
86,2864622,20,,left,saccade,22.0,,,,772.313,248.25900000000001,679.0189999999999,243.347,,,
87,2864626,16,,right,saccade,,22.0,,,733.8330000000003,232.87,664.78,227.03,,,
88,2864646,132,3.5531333333333333,right,fixation,,23.0,656.795470588235,228.68194117647099,,,,,2.0,2.9543635359054203,5.4403135818202975
89,2864646,140,3.5531333333333333,left,fixation,23.0,,677.872388888889,224.17280555555598,,,,,2.0,4.1303424993938425,5.321369185000061
90,2864782,40,,right,saccade,,23.0,,,662.427,232.938,672.541,240.9,,,
91,2864790,40,,left,saccade,23.0,,,,675.758,219.87599999999998,684.074,229.64,,,
92,2864902,632,3.6301502931502934,left,fixation,24.0,,670.57341509434,236.200842767296,,,,,4.0,4.104499395468541,18.31987460480546
93,2864906,628,3.6301502931502934,right,fixation,,24.0,648.551639240506,215.381164556962,,,,,2.0,8.43130130166572,39.45739167617918
94,2865538,52,,right,saccade,,24.0,,,629.6619999999998,217.15099999999998,1333.971,242.109,,,
95,2865538,56,,left,saccade,24.0,,,,642.61,216.21099999999998,1355.192,241.202,,,
96,2865594,1412,3.652841101694916,right,fixation,,25.0,1384.2208389830496,193.39664689265496,,,,,7.0,4.744982913363707,15.243211680005407
97,2865598,212,3.565311320754717,left,fixation,25.0,,1374.6017037037,247.935388888889,,,,,1.0,3.3851546534505315,9.648120697835473
98,2865814,12,,left,saccade,25.0,,,,1375.099,253.295,1375.645,198.421,,,
99,2865830,1172,3.669805272108843,left,fixation,26.0,,1435.1964013605402,177.88158503401402,,,,,14.0,3.2963693567991377,12.751432877162696
100,2867006,60,,left,saccade,26.0,,,,1436.09,175.46099999999996,649.1659999999998,188.24400000000003,,,
101,2867010,56,,right,saccade,,25.0,,,1381.775,199.796,631.381,172.387,,,
102,2867070,356,3.786120780322306,right,fixation,,26.0,634.492788888889,210.63932222222198,,,,,5.0,5.684666033104457,18.20052646455894
103,2867070,368,3.786120780322306,left,fixation,27.0,,656.247193548387,209.361774193548,,,,,6.0,3.7753302147518495,17.69354162022685
104,2867430,40,,right,saccade,,26.0,,,665.0139999999999,225.699,647.451,214.554,,,
105,2867442,40,,left,saccade,27.0,,,,682.461,242.826,673.755,231.37400000000002,,,
106,2867546,124,3.7236666666666665,left,fixation,28.0,,646.3478125,227.33940625,,,,,2.0,2.871772401690445,8.720726852347788
107,2867558,112,3.723666666666667,right,fixation,,27.0,628.433724137931,213.63579310344798,,,,,1.0,4.5447417387814335,17.400834520217618
108,2867674,19,,left,saccade,28.0,,,,637.064,218.873,550.029,221.355,,,
109,2867674,19,,right,saccade,,27.0,,,625.811,227.745,546.883,226.574,,,
110,2867697,156,3.6806923076923077,left,fixation,29.0,,541.40175,225.63765,,,,,3.0,3.1810669986640527,19.84604223772125
111,2867697,156,3.6806923076923077,right,fixation,,28.0,533.00285,226.376225,,,,,1.0,2.7785755393326643,8.321172573622029
112,2867857,24,,left,saccade,29.0,,,,536.411,226.868,753.155,228.42700000000002,,,
113,2867857,24,,right,saccade,,28.0,,,527.36,226.136,775.2239999999997,227.085,,,
114,2867885,716,3.636418994413408,left,fixation,30.0,,817.8358,231.36911111111093,,,,,9.0,3.0190418858032917,10.871781802370524
