,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1914048,112,3.6483620689655174,left,fixation,1.0,,1155.84851724138,177.69286206896595,,,,,1.0,2.3775442103612705,7.302207405983381
1,1914048,112,3.6483620689655174,right,fixation,,1.0,1143.95917241379,176.06834482758597,,,,,0.0,,
2,1914164,36,,left,saccade,1.0,,,,1160.367,173.265,762.429,181.327,,,
3,1914164,36,,right,saccade,,1.0,,,1136.234,187.66400000000002,753.278,192.372,,,
4,1914204,200,3.67435,left,fixation,2.0,,746.226882352941,203.42064705882302,,,,,1.0,3.925705952083311,7.680719367350992
5,1914204,200,3.67435,right,fixation,,2.0,724.777882352941,197.097921568628,,,,,1.0,4.881767271638863,20.23187583987216
6,1914408,32,,left,saccade,2.0,,,,740.824,183.69099999999997,526.6,178.632,,,
7,1914408,32,,right,saccade,,2.0,,,720.082,193.602,504.722,201.845,,,
8,1914444,168,3.6995119047619056,right,fixation,,3.0,493.396046511628,196.77383720930197,,,,,1.0,2.8456227789360917,5.930408501949914
9,1914444,172,3.69929069767442,left,fixation,3.0,,505.659931818182,182.798522727273,,,,,0.0,,
10,1914616,44,,right,saccade,,3.0,,,488.92199999999997,167.605,869.449,13.448,,,
11,1914620,36,,left,saccade,3.0,,,,506.61400000000003,183.486,883.9939999999997,47.38,,,
12,1914660,256,3.7075025833118063,left,fixation,4.0,,929.543153846154,20.1004153846154,,,,,3.0,8.672238041590516,30.276560677059322
13,1914664,252,3.7076455075536696,right,fixation,,4.0,919.976765625,32.696078125,,,,,4.0,5.363619544159249,20.00424933175036
14,1914920,56,,left,saccade,4.0,,,,954.68,14.152000000000001,448.69800000000004,106.98,,,
15,1914920,44,,right,saccade,,4.0,,,957.084,25.015,471.30400000000003,-10.987,,,
16,1915064,24,,right,fixation,,5.0,472.1758571428569,-14.008428571428599,,,,,0.0,,
17,1915092,20,,right,saccade,,5.0,,,461.05400000000003,0.0,456.815,165.523,,,
18,1915100,268,3.6810599882506185,left,fixation,5.0,,456.554632352941,162.381588235294,,,,,2.0,3.1764809999335077,9.261079342478704
19,1915116,256,3.6819754051620652,right,fixation,,6.0,451.719461538462,167.598123076923,,,,,1.0,2.0586280558231493,4.0855885744896
20,1915372,32,,left,saccade,5.0,,,,445.67199999999997,176.033,691.3439999999997,183.864,,,
21,1915376,24,,right,saccade,,6.0,,,457.288,168.718,693.592,164.40400000000002,,,
22,1915404,172,3.7275465116279065,right,fixation,,7.0,710.079772727272,168.601659090909,,,,,1.0,2.9802047142585364,11.37373276457656
23,1915408,168,3.7275119047619047,left,fixation,6.0,,712.733837209303,172.82269767441898,,,,,1.0,2.9093022311582324,8.544808131257321
24,1915580,20,,left,saccade,6.0,,,,707.6510000000003,182.892,841.046,166.433,,,
25,1915580,20,,right,saccade,,7.0,,,718.9789999999997,174.317,805.4060000000003,197.399,,,
26,1915604,160,3.6825625,left,fixation,7.0,,847.7930975609752,191.48997560975602,,,,,1.0,2.9161070177359774,9.570038766901586
27,1915604,160,3.6825625,right,fixation,,8.0,821.339414634146,193.850414634146,,,,,0.0,,
28,1915768,28,,left,saccade,7.0,,,,852.7610000000003,215.334,666.841,217.796,,,
29,1915768,28,,right,saccade,,8.0,,,818.9889999999997,189.737,663.195,214.635,,,
30,1915800,204,3.641519607843137,right,fixation,,9.0,640.4249230769229,203.09617307692292,,,,,1.0,2.7202708709081103,8.822394346207803
31,1915800,208,3.641375,left,fixation,8.0,,653.611452830189,213.32577358490602,,,,,1.0,2.9958933466404307,5.322550516434745
32,1916008,20,,right,saccade,,9.0,,,640.869,197.426,720.255,198.982,,,
33,1916012,16,,left,saccade,8.0,,,,653.7230000000002,201.705,726.075,202.44099999999997,,,
34,1916032,572,3.6405804195804192,left,fixation,9.0,,741.2880763888879,222.734076388889,,,,,1.0,4.984023789960161,17.706751396007075
35,1916032,572,3.6405804195804192,right,fixation,,10.0,731.742756944444,194.2645625,,,,,1.0,2.5631016475270068,4.892255512542183
36,1916608,44,,left,saccade,9.0,,,,732.438,207.988,1326.38,177.611,,,
37,1916608,44,,right,saccade,,10.0,,,703.613,183.328,1314.509,148.695,,,
38,1916656,293,3.7699121621621616,left,fixation,10.0,,1353.18089189189,142.944378378378,,,,,2.0,4.1242957073251025,16.863692253461128
39,1916656,297,3.7701533333333326,right,fixation,,11.0,1349.4671333333301,130.866213333333,,,,,2.0,5.150930332298088,21.14740781244728
40,1916953,24,,left,saccade,10.0,,,,1356.156,135.457,1485.4460000000001,134.714,,,
41,1916957,20,,right,saccade,,11.0,,,1367.9460000000001,100.34200000000001,1484.629,103.70100000000001,,,
42,1916981,819,3.7133039215686265,left,fixation,11.0,,1456.7237233009698,137.660184466019,,,,,3.0,7.232731808276679,42.51388098759665
43,1916981,819,3.7133039215686265,right,fixation,,12.0,1461.74609223301,110.73132524271799,,,,,5.0,6.9246589696505625,36.16959479662897
44,1917804,52,,left,saccade,11.0,,,,1477.219,130.53,693.403,152.175,,,
45,1917804,52,,right,saccade,,12.0,,,1467.361,121.83200000000001,697.3,166.05,,,
46,1917860,388,3.6979005102040814,left,fixation,12.0,,669.067704081632,190.275428571429,,,,,1.0,5.470155736153921,22.541717081890546
47,1917860,388,3.6979005102040814,right,fixation,,13.0,666.202877551021,189.454316326531,,,,,3.0,3.6987992913276764,19.575333287501433
48,1918252,20,,left,saccade,12.0,,,,642.481,194.859,533.175,201.076,,,
49,1918252,20,,right,saccade,,13.0,,,639.6990000000002,211.66299999999998,539.135,212.40400000000002,,,
50,1918276,120,3.7089666666666674,right,fixation,,14.0,534.720935483871,197.63738709677398,,,,,0.0,,
51,1918276,124,3.7092580645161295,left,fixation,13.0,,524.85821875,190.0763125,,,,,0.0,,
52,1918400,28,,right,saccade,,14.0,,,536.8969999999998,193.359,795.948,184.639,,,
53,1918404,24,,left,saccade,13.0,,,,523.433,185.07,782.445,177.762,,,
54,1918432,152,3.715368421052631,left,fixation,14.0,,800.905333333333,159.059794871795,,,,,0.0,,
55,1918432,152,3.715368421052631,right,fixation,,15.0,818.833307692308,186.57820512820496,,,,,1.0,3.1359040208172324,15.12852289551094
56,1918588,24,,right,saccade,,15.0,,,819.0360000000003,181.236,610.469,311.597,,,
57,1918588,28,,left,saccade,14.0,,,,798.669,152.48,584.186,283.38599999999997,,,
58,1918616,232,3.640112068965517,right,fixation,,16.0,583.286322033898,335.386186440678,,,,,2.0,2.649010062442416,5.390857595139287
59,1918620,228,3.6391754385964914,left,fixation,15.0,,573.828724137931,321.124689655172,,,,,2.0,3.2846085510432683,10.305657143203057
60,1918852,24,,left,saccade,15.0,,,,551.762,292.25,673.9730000000002,290.819,,,
61,1918852,24,,right,saccade,,16.0,,,565.711,314.529,702.801,327.9,,,
62,1918880,348,3.665436781609196,left,fixation,16.0,,712.618897727273,323.225386363636,,,,,3.0,4.362280686271421,18.176216896776182
63,1918880,348,3.665436781609196,right,fixation,,17.0,729.0155227272729,357.372090909091,,,,,2.0,6.064085067135505,22.082057008356987
64,1919232,20,,left,saccade,16.0,,,,733.602,329.717,649.9590000000002,324.183,,,
65,1919232,20,,right,saccade,,17.0,,,752.927,335.423,665.785,334.11800000000005,,,
66,1919256,168,3.7022738095238084,right,fixation,,18.0,641.5666046511631,333.284023255814,,,,,0.0,,
67,1919256,172,3.70236046511628,left,fixation,17.0,,629.400727272727,314.928931818182,,,,,0.0,,
68,1919428,16,,right,saccade,,18.0,,,643.303,336.329,576.779,334.99199999999996,,,
69,1919432,12,,left,saccade,17.0,,,,623.039,310.817,565.965,309.64599999999996,,,
70,1919448,176,3.700102272727273,left,fixation,18.0,,566.092044444444,332.464888888889,,,,,0.0,,
71,1919448,176,3.700102272727273,right,fixation,,19.0,568.6860222222219,351.22635555555604,,,,,0.0,,
72,1919628,24,,left,saccade,18.0,,,,564.725,340.7630000000001,673.569,319.209,,,
73,1919628,24,,right,saccade,,19.0,,,570.564,367.466,687.8510000000001,357.445,,,
74,1919656,616,3.736909090909091,left,fixation,19.0,,654.892270967742,311.450787096774,,,,,1.0,4.713414806580126,35.30780963186466
75,1919656,616,3.736909090909091,right,fixation,,20.0,668.414909677419,337.526851612903,,,,,3.0,4.185022433775248,15.870583559963825
76,1920276,24,,left,saccade,19.0,,,,635.262,304.726,499.876,319.52099999999996,,,
77,1920276,24,,right,saccade,,20.0,,,662.684,329.709,492.941,337.64300000000014,,,
78,1920304,1204,3.7026092715231793,left,fixation,20.0,,443.65839735099405,304.76483112582804,,,,,2.0,5.361022945764578,36.69386947578639
79,1920304,1204,3.7026092715231793,right,fixation,,21.0,451.608082781457,331.95606953642397,,,,,3.0,3.851645924331856,20.07167246522821
80,1921512,20,,right,saccade,,21.0,,,460.63599999999997,345.74300000000005,587.65,333.101,,,
81,1921512,24,,left,saccade,20.0,,,,434.01300000000003,308.888,576.447,309.611,,,
82,1921536,292,3.569125,right,fixation,,22.0,572.818756756757,326.418391891892,,,,,2.0,4.844533566909911,19.167257450802992
83,1921540,284,3.5692142857142857,left,fixation,21.0,,557.023375,322.940888888889,,,,,1.0,5.5698169354517075,38.165877285868824
84,1921828,24,,left,saccade,21.0,,,,539.179,321.433,697.346,308.694,,,
85,1921832,20,,right,saccade,,22.0,,,559.531,356.75,707.041,355.54699999999997,,,
86,1921856,268,3.5925882352941176,left,fixation,22.0,,695.4066764705881,297.100367647059,,,,,1.0,3.8828492151740623,18.011999028425524
87,1921856,268,3.5925882352941176,right,fixation,,23.0,705.021852941177,329.215176470588,,,,,1.0,2.1434720017350815,6.327742488439284
88,1922128,28,,left,saccade,22.0,,,,696.335,289.7940000000001,459.02,308.586,,,
89,1922128,28,,right,saccade,,23.0,,,711.707,360.735,478.961,354.098,,,
90,1922160,292,3.6272534246575336,left,fixation,23.0,,419.75277027027,299.397364864865,,,,,2.0,7.735943394868403,23.589723012072717
91,1922160,292,3.6272534246575336,right,fixation,,24.0,420.620567567568,318.813891891892,,,,,3.0,6.702284619872245,27.71862967778472
92,1922456,56,,left,saccade,23.0,,,,375.36199999999997,261.438,1326.4479999999999,289.1740000000001,,,
93,1922456,56,,right,saccade,,24.0,,,389.04,300.427,1331.828,285.70599999999996,,,
94,1922516,256,3.5609609375,right,fixation,,25.0,1342.70593846154,321.491815384615,,,,,3.0,3.8605671203605336,6.877443114336773
95,1922516,1004,3.5316832669322715,left,fixation,24.0,,1327.6465436508,282.99446031746004,,,,,4.0,5.321873512838666,15.996661504076604
96,1922776,16,,right,saccade,,25.0,,,1325.306,331.00699999999995,1326.055,277.012,,,
97,1922796,724,3.5213729281767963,right,fixation,,26.0,1334.21906593407,272.262445054945,,,,,6.0,5.21263691391474,20.364366254506415
98,1923524,52,,left,saccade,24.0,,,,1315.35,282.289,500.903,398.30800000000005,,,
99,1923524,52,,right,saccade,,26.0,,,1299.1989999999996,323.045,533.331,451.76099999999997,,,
100,1923580,268,3.5249558823529417,left,fixation,25.0,,478.912058823529,442.050338235294,,,,,1.0,10.834362439581856,68.73407350797714
101,1923580,268,3.5249558823529417,right,fixation,,27.0,472.036,465.031573529412,,,,,3.0,7.304498091602397,29.76241158719436
102,1923852,32,,left,saccade,25.0,,,,434.866,435.397,753.2489999999997,435.041,,,
103,1923852,32,,right,saccade,,27.0,,,431.07199999999995,458.645,760.62,461.901,,,
104,1923888,240,3.53045,left,fixation,26.0,,765.7063606557381,447.541344262295,,,,,1.0,2.3211739606405093,7.477785567933803
105,1923888,240,3.53045,right,fixation,,28.0,772.128754098361,477.84695081967203,,,,,2.0,5.877114762925959,17.842562394669663
106,1924132,24,,left,saccade,26.0,,,,761.454,451.30199999999996,662.459,439.74199999999996,,,
107,1924132,24,,right,saccade,,28.0,,,776.995,469.8,662.0239999999999,461.31199999999995,,,
108,1924160,284,3.507725352112677,right,fixation,,29.0,646.168277777777,465.65569444444503,,,,,1.0,2.404302561150643,6.1230000816592804
109,1924160,288,3.507569444444444,left,fixation,27.0,,634.806890410959,443.073739726027,,,,,3.0,2.6681075261945977,6.240667348477137
110,1924448,20,,right,saccade,,29.0,,,653.716,480.876,560.6030000000002,484.379,,,
111,1924452,16,,left,saccade,27.0,,,,626.266,458.897,545.144,455.23,,,
112,1924472,280,3.5127,right,fixation,,30.0,555.5354788732401,486.2679577464791,,,,,0.0,,
113,1924472,284,3.5128802816901405,left,fixation,28.0,,544.518013888889,462.1715,,,,,1.0,2.9965898998324274,11.321824278798891
114,1924756,24,,right,saccade,,30.0,,,563.504,492.649,447.844,478.227,,,
115,1924760,20,,left,saccade,28.0,,,,545.1030000000002,471.163,438.994,468.374,,,
116,1924784,188,3.5671702127659572,left,fixation,29.0,,426.469354166667,447.2495625,,,,,2.0,2.943195773703932,6.294234648846405
117,1924784,188,3.5671702127659572,right,fixation,,31.0,438.6892916666671,454.944625,,,,,1.0,3.394054147410671,7.1284282980191245
118,1924976,32,,left,saccade,29.0,,,,422.483,438.49300000000005,687.452,436.01300000000003,,,
119,1924976,32,,right,saccade,,31.0,,,439.079,448.749,705.4639999999997,442.449,,,
120,1925012,140,3.5344857142857142,left,fixation,30.0,,703.9864444444438,444.9253333333329,,,,,2.0,2.951203189322697,5.443277367775856
