,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2535824,372,3.2842101063829783,left,fixation,1.0,,942.0215106382981,46.3421595744681,,,,,1.0,8.861364243162564,30.108362177308823
1,2535824,488,3.2837256097560976,right,fixation,,1.0,968.090918699186,11.0462682926829,,,,,1.0,6.725399048466279,30.540454564397066
2,2536200,0,,left,saccade,1.0,,,,962.311,35.185,962.311,35.185,,,
3,2536204,108,3.2826851851851853,left,fixation,2.0,,979.829857142857,0.974285714285715,,,,,0.0,,
4,2536316,32,,right,saccade,,1.0,,,1000.0930000000001,-24.474,1455.969,77.09100000000002,,,
5,2536316,36,,left,saccade,2.0,,,,981.308,-17.158,1408.013,77.76899999999998,,,
6,2536352,84,3.272738095238096,right,fixation,,2.0,1473.3573636363599,92.6888636363636,,,,,0.0,,
7,2536356,80,3.2723249999999995,left,fixation,3.0,,1424.6287619047598,111.916,,,,,0.0,,
8,2536440,48,,left,saccade,3.0,,,,1427.0729999999999,137.002,1475.6689999999999,818.0039999999997,,,
9,2536440,48,,right,saccade,,2.0,,,1485.6979999999999,85.585,1516.192,806.9689999999997,,,
10,2536492,216,3.2405740740740745,left,fixation,4.0,,1501.84383636364,874.2080181818179,,,,,1.0,16.246683323921136,54.46612760239149
11,2536492,216,3.2405740740740745,right,fixation,,3.0,1507.00030909091,841.9698,,,,,1.0,11.745002300032828,35.444744208415436
12,2536712,60,,right,saccade,,3.0,,,1542.3120000000001,883.195,523.2719999999998,257.13599999999997,,,
13,2536712,64,,left,saccade,4.0,,,,1528.7179999999994,920.1289999999999,511.832,283.695,,,
14,2536776,132,3.2612878787878787,right,fixation,,4.0,516.815676470588,252.566411764706,,,,,0.0,,
15,2536780,128,3.261296875,left,fixation,5.0,,490.2520303030301,264.377818181818,,,,,0.0,,
16,2536912,20,,right,saccade,,4.0,,,525.536,237.582,432.648,189.243,,,
17,2536912,24,,left,saccade,5.0,,,,487.68199999999996,253.331,378.53,198.144,,,
18,2536936,383,3.2688,right,fixation,,5.0,401.966329896907,153.648659793814,,,,,0.0,,
19,2536940,383,3.2686947368421047,left,fixation,6.0,,370.5038350515461,158.907319587629,,,,,0.0,,
20,2537323,24,,right,saccade,,5.0,,,403.185,152.27200000000005,435.185,274.824,,,
21,2537327,24,,left,saccade,6.0,,,,380.036,162.94,404.11400000000003,298.0370000000001,,,
22,2537351,2632,3.2241048632218847,right,fixation,,6.0,439.256974203339,193.15644309559897,,,,,7.0,8.147932840879651,27.614282958544997
23,2537355,2636,3.2241517450682857,left,fixation,7.0,,379.510028787878,175.688174242424,,,,,4.0,7.264898971960549,19.55250902003429
24,2539987,4,,right,saccade,,6.0,,,426.374,193.03,425.478,184.202,,,
25,2539995,4,,left,saccade,7.0,,,,364.022,171.977,363.577,167.50599999999997,,,
26,2539995,844,3.229535545023696,right,fixation,,7.0,425.932306603774,156.688971698113,,,,,1.0,7.910190983085606,23.831044395913477
27,2540003,2772,3.2399776334776336,left,fixation,8.0,,353.169005763689,177.589850144092,,,,,4.0,8.901015305911871,27.678835439911705
28,2540843,9,,right,saccade,,7.0,,,424.32599999999996,146.77,424.32599999999996,173.875,,,
29,2540856,1919,3.2446701461377883,right,fixation,,8.0,409.243276507277,206.138126819127,,,,,3.0,6.281051466050018,25.308192051524454
30,2542779,28,,right,saccade,,8.0,,,415.347,205.515,708.557,246.986,,,
31,2542779,32,,left,saccade,8.0,,,,340.369,176.96200000000005,631.686,230.59900000000002,,,
32,2542811,356,3.219111111111112,right,fixation,,9.0,724.111688888889,286.471511111111,,,,,0.0,,
33,2542815,352,3.218825842696629,left,fixation,9.0,,682.306359550562,279.246539325843,,,,,1.0,11.728605431214365,29.040712887255268
34,2543171,28,,right,saccade,,9.0,,,725.684,287.093,566.659,292.536,,,
35,2543171,32,,left,saccade,9.0,,,,691.9010000000003,293.059,519.689,301.652,,,
36,2543203,1252,3.197476837060703,right,fixation,,10.0,494.542337579618,286.19447133758,,,,,1.0,6.399914003328477,22.054665039396976
37,2543207,1248,3.1974607371794868,left,fixation,10.0,,448.001044728435,273.94492651757196,,,,,0.0,,
38,2544459,24,,left,saccade,10.0,,,,440.814,242.27599999999998,413.798,361.58,,,
39,2544459,24,,right,saccade,,10.0,,,498.069,249.998,449.666,360.67400000000004,,,
40,2544487,628,3.1660374531835216,left,fixation,11.0,,379.747632911392,405.751873417721,,,,,1.0,14.89069120196312,41.88424411398633
41,2544487,636,3.1660374531835216,right,fixation,,11.0,432.00496875,402.91006875,,,,,1.0,5.805593866168122,20.988141890124513
42,2545119,40,,left,saccade,11.0,,,,384.575,398.63599999999997,407.4,423.126,,,
43,2545127,48,,right,saccade,,11.0,,,439.49300000000005,417.056,451.345,443.135,,,
44,2545323,152,3.0887565356289324,right,fixation,,12.0,443.719512820513,476.539846153846,,,,,1.0,6.469181411808531,11.208422056650068
45,2545363,112,3.0887565356289324,left,fixation,12.0,,396.260379310345,445.966896551724,,,,,1.0,7.30708966423097,15.717309502583499
46,2545479,16,,left,saccade,12.0,,,,395.57099999999997,453.329,413.42199999999997,527.469,,,
47,2545479,20,,right,saccade,,12.0,,,431.50300000000004,479.346,452.809,542.446,,,
48,2545499,292,3.1219930555555555,left,fixation,13.0,,433.93505405405404,560.967513513513,,,,,0.0,,
49,2545503,300,3.1206756756756766,right,fixation,,13.0,472.618789473684,556.606552631579,,,,,0.0,,
50,2545795,28,,left,saccade,13.0,,,,436.745,573.212,381.358,464.471,,,
51,2545807,16,,right,saccade,,13.0,,,467.051,530.775,443.88,478.115,,,
52,2545827,1924,3.1363534303534304,right,fixation,,14.0,399.72968672199204,426.1611244813269,,,,,2.0,5.8012295508008105,15.634878447061926
53,2545827,1932,3.136356107660456,left,fixation,14.0,,361.428407024793,432.489822314049,,,,,2.0,9.261787851556406,25.456854363792086
54,2547755,16,,right,saccade,,14.0,,,382.587,477.88599999999997,438.04699999999997,479.61199999999997,,,
55,2547763,4,,left,saccade,14.0,,,,377.574,501.92,387.546,501.92,,,
56,2547771,2408,3.209351575456053,left,fixation,15.0,,391.28851907131,455.83006467661596,,,,,9.0,8.426910562661973,23.8320943982939
57,2547775,1060,3.1973552631578945,right,fixation,,15.0,422.601191729323,432.593191729324,,,,,2.0,9.536823388993644,23.227635984195715
58,2548839,4,,right,saccade,,15.0,,,459.244,477.349,467.934,469.92199999999997,,,
59,2548847,172,3.236813953488372,right,fixation,,16.0,462.73095454545404,454.51075,,,,,0.0,,
60,2549023,12,,right,saccade,,16.0,,,459.249,465.348,458.94800000000004,417.51199999999994,,,
61,2549039,840,3.2190857142857143,right,fixation,,17.0,453.211379146919,418.872218009478,,,,,1.0,10.243064712010966,39.04333861236765
62,2549883,16,,right,saccade,,17.0,,,444.157,429.32,449.097,483.48699999999997,,,
63,2549903,272,3.207066176470588,right,fixation,,18.0,467.7728840579709,526.679971014493,,,,,1.0,12.338511621252284,36.84380568019538
64,2550179,32,,right,saccade,,18.0,,,496.329,545.879,798.655,567.969,,,
65,2550183,28,,left,saccade,15.0,,,,449.176,551.144,720.8960000000003,548.87,,,
66,2550215,168,3.1720238095238096,right,fixation,,19.0,781.315558139535,562.165860465116,,,,,0.0,,
67,2550215,172,3.171697674418605,left,fixation,16.0,,745.044545454545,570.1105,,,,,0.0,,
68,2550387,24,,right,saccade,,19.0,,,772.5189999999999,558.92,941.659,558.437,,,
69,2550391,20,,left,saccade,16.0,,,,747.453,574.7090000000002,903.284,565.085,,,
70,2550415,367,3.1348626373626383,left,fixation,17.0,,917.3419784946241,547.60540860215,,,,,0.0,,
71,2550415,367,3.1348626373626383,right,fixation,,20.0,949.87964516129,544.029634408602,,,,,0.0,,
72,2550786,33,,left,saccade,17.0,,,,920.555,552.972,1169.326,571.628,,,
73,2550786,33,,right,saccade,,20.0,,,961.315,548.254,1225.61,549.88,,,
74,2550823,468,3.1421025641025637,left,fixation,18.0,,1177.94399152542,565.506830508474,,,,,1.0,7.566877269462656,22.86162813537138
75,2550823,468,3.1421025641025637,right,fixation,,21.0,1225.03728813559,543.378737288135,,,,,0.0,,
76,2551295,28,,left,saccade,18.0,,,,1177.37,549.521,1394.6,554.7869999999998,,,
77,2551295,28,,right,saccade,,21.0,,,1204.5539999999999,559.286,1438.1229999999994,565.129,,,
78,2551327,296,3.1518851351351365,left,fixation,19.0,,1422.12290666667,551.52632,,,,,1.0,5.402172469376434,11.47958370325326
79,2551327,300,3.1517,right,fixation,,22.0,1456.54272368421,547.628421052631,,,,,0.0,,
80,2551627,44,,left,saccade,19.0,,,,1428.963,558.822,1132.626,569.7819999999998,,,
81,2551631,40,,right,saccade,,22.0,,,1452.338,534.681,1195.742,523.3290000000002,,,
82,2551675,436,3.108738532110092,left,fixation,20.0,,1143.4553727272698,559.376036363636,,,,,1.0,5.417382280934049,16.064034362513095
83,2551675,436,3.108738532110092,right,fixation,,23.0,1182.6174181818199,533.241390909091,,,,,0.0,,
84,2552115,52,,right,saccade,,23.0,,,1202.248,546.124,399.03,456.399,,,
85,2552115,56,,left,saccade,20.0,,,,1160.867,553.992,367.884,491.399,,,
86,2552171,1275,3.1351462264150944,right,fixation,,24.0,398.06441875,437.306090625,,,,,0.0,,
87,2552175,1271,3.1352365930599366,left,fixation,21.0,,345.205642633229,453.304686520376,,,,,0.0,,
88,2553450,48,,left,saccade,21.0,,,,348.208,474.897,1077.5839999999996,492.809,,,
89,2553450,48,,right,saccade,,24.0,,,433.215,456.56199999999995,1163.4,486.236,,,
90,2553502,1136,3.1274929824561406,left,fixation,22.0,,1153.7824947368401,532.7051859649121,,,,,3.0,8.586483776838065,25.14649323757645
91,2553502,1136,3.1274929824561406,right,fixation,,25.0,1214.2560947368402,513.902189473684,,,,,1.0,11.076511425584792,22.42540927162748
92,2554642,52,,left,saccade,22.0,,,,1153.0739999999996,521.005,428.602,451.655,,,
93,2554642,52,,right,saccade,,25.0,,,1213.549,493.293,490.098,421.98,,,
94,2554698,484,3.182760330578512,left,fixation,23.0,,407.422401639344,418.590401639344,,,,,0.0,,
95,2554698,488,3.182905737704917,right,fixation,,26.0,455.474512195122,398.225390243902,,,,,1.0,6.8308208165474325,22.98113367525629
96,2555186,20,,left,saccade,23.0,,,,401.06300000000016,405.847,308.442,413.269,,,
97,2555190,20,,right,saccade,,26.0,,,447.85699999999997,392.056,388.44300000000004,410.25800000000004,,,
98,2555210,152,3.1966710526315802,left,fixation,24.0,,290.732282051282,416.26274358974405,,,,,0.0,,
99,2555214,809,3.190543352601156,right,fixation,,27.0,408.838241379311,424.449773399015,,,,,3.0,27.93259745388255,67.54850246037151
100,2555366,8,,left,saccade,24.0,,,,313.063,408.384,329.3119999999999,421.48900000000003,,,
101,2555378,641,3.1890454545454543,left,fixation,25.0,,363.902875776397,453.653385093168,,,,,1.0,39.45705553193243,71.07509370377223
102,2556023,39,,left,saccade,25.0,,,,362.721,451.221,527.866,373.485,,,
103,2556027,44,,right,saccade,,27.0,,,456.48800000000006,444.06699999999995,515.411,391.2,,,
104,2556303,127,3.2342725409836066,right,fixation,,28.0,508.22772727272695,392.319545454545,,,,,1.0,9.654858376888685,20.565994092190216
105,2556330,100,3.2342725409836066,left,fixation,26.0,,510.856346153846,370.937769230769,,,,,0.0,,
106,2556434,20,,left,saccade,26.0,,,,493.282,389.82099999999997,424.17699999999996,413.036,,,
107,2556434,20,,right,saccade,,28.0,,,497.923,419.25699999999995,431.51099999999997,425.67900000000003,,,
108,2556458,372,3.2388172043010752,left,fixation,27.0,,405.96785106383,431.86175531914887,,,,,0.0,,
109,2556458,372,3.2388172043010752,right,fixation,,29.0,443.171244680851,420.623723404255,,,,,0.0,,
110,2556834,48,,left,saccade,27.0,,,,418.735,444.676,1123.078,505.18300000000005,,,
111,2556834,48,,right,saccade,,29.0,,,465.721,385.12300000000016,1196.6860000000001,515.467,,,
112,2556886,272,3.159941176470588,left,fixation,28.0,,1170.54636231884,527.84168115942,,,,,1.0,9.817846370824498,16.521014648017232
113,2556886,272,3.159941176470588,right,fixation,,30.0,1215.42327536232,522.736855072464,,,,,0.0,,
114,2557162,24,,left,saccade,28.0,,,,1167.746,551.491,934.7080000000001,553.941,,,
115,2557162,24,,right,saccade,,30.0,,,1219.451,521.565,991.8589999999999,518.474,,,
116,2557190,204,3.1238235294117653,left,fixation,29.0,,930.814365384615,539.459403846154,,,,,0.0,,
117,2557190,204,3.1238235294117653,right,fixation,,31.0,971.822788461539,543.423576923077,,,,,0.0,,
118,2557398,24,,left,saccade,29.0,,,,923.291,539.785,687.008,552.716,,,
119,2557398,24,,right,saccade,,31.0,,,971.048,527.246,734.169,529.507,,,
120,2557426,280,3.1174071428571435,right,fixation,,32.0,703.1691126760561,532.832253521127,,,,,0.0,,
121,2557426,284,3.117619718309859,left,fixation,30.0,,666.958694444444,550.978944444445,,,,,0.0,,
122,2557710,32,,right,saccade,,32.0,,,698.9739999999997,526.977,466.07800000000003,549.925,,,
123,2557714,28,,left,saccade,30.0,,,,646.969,544.54,426.405,556.4730000000002,,,
124,2557746,392,3.1375714285714285,left,fixation,31.0,,431.5039595959591,575.651161616161,,,,,0.0,,
125,2557746,392,3.1375714285714285,right,fixation,,33.0,462.245575757576,551.12002020202,,,,,2.0,6.337986671550605,16.01101898525574
126,2558142,24,,left,saccade,31.0,,,,470.31300000000016,597.387,356.966,688.568,,,
127,2558142,24,,right,saccade,,33.0,,,472.80699999999996,576.006,410.01,702.159,,,
128,2558170,1064,3.158328947368421,right,fixation,,34.0,427.776479400749,694.896711610486,,,,,2.0,11.511973522440494,39.46309246846809
129,2558170,1068,3.1583352059925094,left,fixation,32.0,,391.498671641791,704.169167910447,,,,,3.0,7.542822531681338,24.872361314696068
130,2559238,20,,right,saccade,,34.0,,,454.168,696.471,448.6,789.592,,,
131,2559242,16,,left,saccade,32.0,,,,414.31800000000004,699.785,409.67199999999997,759.2260000000001,,,
132,2559262,552,3.187263671566304,left,fixation,33.0,,370.175971223022,760.2870143884891,,,,,1.0,5.249165446896191,13.269630288745825
133,2559262,560,3.187263671566304,right,fixation,,35.0,413.50458865248197,764.770028368795,,,,,0.0,,
134,2559818,40,,left,saccade,33.0,,,,345.876,746.415,332.1280000000001,640.9630000000002,,,
135,2559826,64,,right,saccade,,35.0,,,378.74800000000016,751.324,333.07,557.769,,,
